"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"Mediterranean",2019,"Mar",NA,2,36,NA,2,NA,"Presumed drowning","Eastern Mediterranean"
"Mediterranean",2019,"Mar",4,NA,11,3,NA,1,"Presumed drowning","Eastern Mediterranean"
"Mediterranean",2019,"Mar",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Mar",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Central America",2019,"Mar",1,NA,NA,NA,1,NA,"Fall from train",""
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Southeast Asia",2019,"Mar",8,2,NA,1,NA,NA,"Vehicle Accident",""
"Mediterranean",2019,"Mar",4,4,NA,3,5,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Central America",2019,"Mar",1,NA,NA,NA,1,NA,"Violence",""
"Mediterranean",2019,"Mar",1,3,15,NA,NA,1,"Presumed drowning","Central Mediterranean"
"Mediterranean",2019,"Mar",3,NA,52,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Central America",2019,"Mar",1,NA,NA,NA,1,NA,"Hit by train",""
"North Africa",2019,"Mar",NA,19,1,NA,NA,NA,"Presumed drowning","Western African"
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Mar",1,44,22,3,NA,1,"Drowning","Western Mediterranean"
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Caribbean",2019,"Mar",1,NA,15,NA,1,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Mar",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Mar",1,NA,NA,1,NA,1,"Presumed drowning","Eastern Mediterranean"
"Mediterranean",2019,"Mar",1,NA,NA,1,NA,NA,"Presumed drowning","Eastern Mediterranean"
"Mediterranean",2019,"Mar",1,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Europe",2019,"Mar",1,NA,1,NA,1,NA,"Electrocution on railway","Western Balkans"
"Europe",2019,"Mar",1,NA,NA,NA,1,NA,"Suffocation",""
"Mediterranean",2019,"Mar",NA,2,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2019,"Mar",3,NA,9,NA,3,2,"Drowning","Eastern Mediterranean"
"Central America",2019,"Mar",1,NA,NA,NA,1,NA,"Cardiac arrest",""
"Central America",2019,"Mar",24,NA,33,11,13,5,"Vehicle Accident",""
"US-Mexico Border",2019,"Mar",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)",""
"South America",2019,"Mar",1,NA,NA,NA,1,1,"Pneumonia",""
"Central America",2019,"Mar",2,NA,8,NA,NA,NA,"Shot",""
"Mediterranean",2019,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Central America",2019,"Mar",1,NA,NA,NA,1,NA,"Fall from train",""
"Mediterranean",2019,"Feb",2,4,NA,1,1,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Feb",1,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Feb",1,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Europe",2019,"Feb",2,NA,NA,NA,2,NA,"Drowning","Western Balkans"
"South America",2019,"Feb",1,NA,NA,NA,1,1,"Pneumonia, Malnutrition",""
"North Africa",2019,"Feb",2,NA,NA,2,NA,NA,"Unknown",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Drowning",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2019,"Feb",2,NA,NA,NA,NA,NA,"Unknown",""
"Mediterranean",2019,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2019,"Feb",3,NA,NA,3,NA,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Drowning",""
"Central America",2019,"Feb",1,NA,NA,NA,1,NA,"Cardiac arrest",""
"US-Mexico Border",2019,"Feb",1,NA,2,1,NA,NA,"Hit by vehicle",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)",""
"Central America",2019,"Feb",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"Middle East",2019,"Feb",2,NA,NA,NA,2,NA,"Presumed drowning",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Unknown",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Drowning",""
"Mediterranean",2019,"Feb",1,NA,NA,NA,1,1,"Unknown","Western Mediterranean"
"Mediterranean",2019,"Feb",3,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Feb",NA,1,1,NA,1,NA,"Presumed drowning",""
"Central America",2019,"Feb",1,NA,7,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2019,"Feb",NA,1,NA,1,NA,1,"Presumed drowning","Eastern Mediterranean"
"US-Mexico Border",2019,"Feb",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)",""
"Mediterranean",2019,"Feb",NA,3,9,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Feb",2,3,13,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Europe",2019,"Feb",1,NA,NA,NA,1,NA,"Hypothermia","Western Balkans"
"Europe",2019,"Feb",1,NA,NA,NA,1,NA,"Hypothermia","Italy to France"
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning",""
"Central America",2019,"Feb",1,NA,NA,NA,1,NA,"Murdered",""
"Mediterranean",2019,"Feb",1,2,42,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2019,"Feb",1,NA,NA,NA,1,1,"Presumed drowning","Central Mediterranean"
"North Africa",2019,"Feb",3,NA,25,2,1,NA,"Vehicle Accident",""
"Europe",2019,"Feb",1,NA,1,NA,1,NA,"Fire",""
"North Africa",2019,"Feb",1,NA,NA,NA,1,NA,"Hypothermia",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning",""
"North Africa",2019,"Feb",3,NA,NA,NA,NA,NA,"Hypothermia",""
"Central America",2019,"Feb",1,NA,4,NA,1,NA,"Shot",""
"Europe",2019,"Feb",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"Caribbean",2019,"Feb",31,NA,18,NA,NA,NA,"Drowning",""
"US-Mexico Border",2019,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning",""
"Horn of Africa",2019,"Jan",52,18,16,3,2,NA,"Presumed drowning","Horn Africa to Yemen"
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2019,"Jan",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)",""
"Central America",2019,"Jan",1,NA,NA,NA,1,NA,"Fall from train",""
"South America",2019,"Jan",19,5,8,NA,NA,10,"Presumed drowning",""
"US-Mexico Border",2019,"Jan",3,NA,NA,NA,3,NA,"Presumed drowning","Central America to US"
